2:4333:4080 FUR:Fiat:Ducato:Azul:80.0:true:1200:1
2:4333:4080 FUR:Fiat:Ducato:Azul:80.0:true:1200:1
2:4333:4080 FUR:Fiat:Ducato:Azul:80.0:true:1200:1
2:4333:4080 FUR:Fiat:Ducato:Azul:80.0:true:1200:1
2:4333:4080 FUR:Fiat:Ducato:Azul:80.0:true:1200:1
2:4333:4080 FUR:Fiat:Ducato:Azul:80.0:true:1200:1
2:4333:4080 FUR:Fiat:Ducato:Azul:80.0:true:1200:1
2:4333:4080 FUR:Fiat:Ducato:Azul:80.0:true:1200:1
2:4333:4080 FUR:Fiat:Ducato:Azul:80.0:true:1200:1
2:4333:4080 FUR:Fiat:Ducato:Azul:80.0:true:1200:1
